Scenario	Replication	[TimeInSystem].SampleAverage/1[h]	((168*3[h])-([WaitForTaskCTMachine].AverageQueueTime*[WaitForTaskCTMachine].NumberAdded)) / ((168*3[h]))
1	1	0.4439243346722587	0.7339697390680112
1	2	0.521371005604678	0.7799696720502649
1	3	0.44129034932162464	0.7364408512940912
1	4	0.41823361503495754	0.719572880475089
1	5	0.5193108747470561	0.7557688254640655
1	6	0.46173408109982195	0.7448546733063277
1	7	0.4142890493672368	0.7110489356646827
1	8	0.4482505227605806	0.7561636084882059
1	9	0.42511169655604364	0.7339367268761025
1	10	0.4530162662932477	0.7594939569372792
1	11	0.5213443100357701	0.768177403132716
1	12	0.44331939418301874	0.742100505476191
1	13	0.45078095759790604	0.7308147978334437
1	14	0.43878193245256913	0.7178209945221562
1	15	0.4529269766342484	0.7192834673649686
1	16	0.4434842667768601	0.7224571856509034
1	17	0.44937812929755705	0.7229840416231259
1	18	0.48143844320310075	0.7677079753637571
1	19	0.4628525123924934	0.7180824281420857
1	20	0.4751046533185314	0.7436561484016754
1	21	0.4380532952963661	0.7089228648115076
1	22	0.44947842395822907	0.7243898116655642
1	23	0.4290026757580256	0.7036805633570327
1	24	0.4652657387129764	0.7617707206349207
1	25	0.46569358154354146	0.7132305798666231
1	26	0.45298305507689424	0.7229112445364854
1	27	0.43136751121018596	0.7405378306382271
1	28	0.4694085564103035	0.7345842681679898
1	29	0.45707553019164854	0.7343449515994268
1	30	0.4249440037753099	0.719389931369599
1	31	0.4362745416336324	0.7185982876521169
1	32	0.4120764760385924	0.7015208839930559
1	33	0.4733983845073693	0.72783215270227
1	34	0.45915232066520945	0.7794866166523365
1	35	0.41990446553394767	0.7156682459215165
1	36	0.44718059850033165	0.7359446031453925
1	37	0.4170735934783622	0.712974888695437
1	38	0.41958009430903664	0.7080906981503527
1	39	0.4471197965689678	0.7289999048015869
1	40	0.4831994066689337	0.7416018670855387
1	41	0.42895211170990427	0.708064492637236
1	42	0.40996395067780433	0.6824807124707893
1	43	0.44179688974045966	0.749182819250992
1	44	0.42391485410406327	0.6792375451063717
1	45	0.4377846919079874	0.7233399665817905
1	46	0.43795365772845507	0.7346170993099652
1	47	0.47147739521221915	0.7478493336513454
1	48	0.42447016664778714	0.7025165108112874
1	49	0.4567725351082413	0.7333910714021166
1	50	0.46770182728092463	0.7496305417201281
1		0.4492992700261053	0.7305819165104829
